Date,TotalDailyEnergy_GWh,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths
06/03/2018,70.379,0,0,0,0
07/03/2018,70.007,0,0,0,0
08/03/2018,69.643,0,0,0,0
09/03/2018,69.363,0,0,0,0
10/03/2018,53.235,0,0,0,0
11/03/2018,59.989,0,0,0,0
12/03/2018,69.482,0,0,0,0
13/03/2018,70.104,0,0,0,0
14/03/2018,70.137,0,0,0,0
15/03/2018,68.885,0,0,0,0
16/03/2018,67.589,0,0,0,0
17/03/2018,60.112,0,0,0,0
18/03/2018,63.617,0,0,0,0
19/03/2018,64.197,0,0,0,0
20/03/2018,72.941,0,0,0,0
21/03/2018,73.179,0,0,0,0
22/03/2018,70.35,0,0,0,0
23/03/2018,67.99,0,0,0,0
24/03/2018,58.873,0,0,0,0
25/03/2018,57.147,0,0,0,0
26/03/2018,68.979,0,0,0,0
27/03/2018,70.552,0,0,0,0
28/03/2018,69.438,0,0,0,0
29/03/2018,69.137,0,0,0,0
30/03/2018,66.566,0,0,0,0
31/03/2018,59.424,0,0,0,0
01/04/2018,59.047,0,0,0,0
02/04/2018,60.843,0,0,0,0
03/04/2018,69.141,0,0,0,0
04/04/2018,69.795,0,0,0,0
05/04/2018,69.689,0,0,0,0
06/04/2018,69.501,0,0,0,0
07/04/2018,59.827,0,0,0,0
08/04/2018,59.489,0,0,0,0
09/04/2018,68.285,0,0,0,0
10/04/2018,70.088,0,0,0,0
11/04/2018,69.391,0,0,0,0
12/04/2018,68.736,0,0,0,0
13/04/2018,67.508,0,0,0,0
14/04/2018,47.851,0,0,0,0
15/04/2018,58.542,0,0,0,0
16/04/2018,68.411,0,0,0,0
17/04/2018,68.64,0,0,0,0
18/04/2018,68.164,0,0,0,0
19/04/2018,68.67,0,0,0,0
20/04/2018,67.853,0,0,0,0
21/04/2018,59.283,0,0,0,0
22/04/2018,58.079,0,0,0,0
23/04/2018,67.303,0,0,0,0
24/04/2018,68.926,0,0,0,0
25/04/2018,68.259,0,0,0,0
26/04/2018,66.814,0,0,0,0
27/04/2018,67.335,0,0,0,0
28/04/2018,58.967,0,0,0,0
29/04/2018,57.52,0,0,0,0
30/04/2018,67.706,0,0,0,0
01/05/2018,69.402,0,0,0,0
02/05/2018,71.88,0,0,0,0
03/05/2018,70.484,0,0,0,0
04/05/2018,68.436,0,0,0,0
05/05/2018,59.35,0,0,0,0
06/05/2018,58.926,0,0,0,0
07/05/2018,58.839,0,0,0,0
08/05/2018,66.85,0,0,0,0
09/05/2018,67.67,0,0,0,0
10/05/2018,67.874,0,0,0,0
11/05/2018,67.326,0,0,0,0
12/05/2018,58.743,0,0,0,0
13/05/2018,58.169,0,0,0,0
14/05/2018,67.835,0,0,0,0
15/05/2018,67.545,0,0,0,0
16/05/2018,71.019,0,0,0,0
17/05/2018,68.917,0,0,0,0
18/05/2018,67.265,0,0,0,0
19/05/2018,50.774,0,0,0,0
20/05/2018,56.933,0,0,0,0
21/05/2018,66.78,0,0,0,0
22/05/2018,68.053,0,0,0,0
23/05/2018,71.43,0,0,0,0
24/05/2018,69.313,0,0,0,0
25/05/2018,71.269,0,0,0,0
26/05/2018,60.901,0,0,0,0
27/05/2018,59.756,0,0,0,0
28/05/2018,73.054,0,0,0,0
29/05/2018,75.263,0,0,0,0
30/05/2018,74.067,0,0,0,0
31/05/2018,74.429,0,0,0,0
01/06/2018,72.301,0,0,0,0
02/06/2018,62.03,0,0,0,0
03/06/2018,61.928,0,0,0,0
04/06/2018,64.277,0,0,0,0
05/06/2018,74.04,0,0,0,0
06/06/2018,73.799,0,0,0,0
07/06/2018,74.852,0,0,0,0
08/06/2018,73.825,0,0,0,0
09/06/2018,64.006,0,0,0,0
10/06/2018,60.237,0,0,0,0
11/06/2018,68.937,0,0,0,0
12/06/2018,69.623,0,0,0,0
13/06/2018,67.501,0,0,0,0
14/06/2018,70.595,0,0,0,0
15/06/2018,65.55,0,0,0,0
16/06/2018,51.803,0,0,0,0
17/06/2018,60.182,0,0,0,0
18/06/2018,70.674,0,0,0,0
19/06/2018,73.165,0,0,0,0
20/06/2018,68.655,0,0,0,0
21/06/2018,67.478,0,0,0,0
22/06/2018,67.644,0,0,0,0
23/06/2018,61.245,0,0,0,0
24/06/2018,62.126,0,0,0,0
25/06/2018,72.749,0,0,0,0
26/06/2018,78.16,0,0,0,0
27/06/2018,79.625,0,0,0,0
28/06/2018,80.429,0,0,0,0
29/06/2018,80.846,0,0,0,0
30/06/2018,69.486,0,0,0,0
01/07/2018,65.82,0,0,0,0
02/07/2018,74.836,0,0,0,0
03/07/2018,77.281,0,0,0,0
04/07/2018,75.386,0,0,0,0
05/07/2018,74.017,0,0,0,0
06/07/2018,72.181,0,0,0,0
07/07/2018,66.429,0,0,0,0
08/07/2018,65.131,0,0,0,0
09/07/2018,74.032,0,0,0,0
10/07/2018,73.033,0,0,0,0
11/07/2018,74.628,0,0,0,0
